Resumo,Chave da ocorrência,ID da ocorrência,Tipo de Item,Situação,Chave do projeto,Nome do projeto,Tipo de projeto,Líder do projeto,Descrição do projeto,URL do projeto,Prioridade,Resolução,Responsável,Solicitante,Criador,Criado,Atualizado,Última visualização,Resolvido,Versões Corrigidas,Data para Ficar Pronto,Votos,Rótulos,Descrição,Ambiente,Acompanhadores,Acompanhadores,Acompanhadores,Acompanhadores,Acompanhadores,Acompanhadores,Tempo Estimado,Tempo Restante,Tempo Gasto,Razão Trabalhada,Σ da Estimativa Original,Σ da Estimativa Restante,Σ Tempo Gasto,Nível de Segurança,Link externo de ocorrência (Blocks),Anexos,Anexos,Campo personalizado (Development),Campo personalizado (Epic Colour),Campo personalizado (Epic Link),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Gerada(s) durante),Campo personalizado (Rank),Sprint,Sprint,Sprint,Sprint,points,Campo personalizado (Test sessions),Campo personalizado (Testing status),Campo personalizado ([CHART] Date of First Response),Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário
Fazer levantamento de requisitos que não foram atendidos na versão v1.2.0,ERP-525,10730,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,admin,admin,admin,18/abr/18 8:19 AM,18/abr/18 8:30 AM,18/abr/18 8:30 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032f:,Sprint 11,,,,5.0,,,,,,,,,,,,,,,,,,,
Fazer upload da versão v1.2.0 para o servidor de homologação,ERP-522,10727,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,admin,admin,admin,18/abr/18 8:17 AM,18/abr/18 8:30 AM,18/abr/18 8:30 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032b:,Sprint 11,,,,1.0,,,,,,,,,,,,,,,,,,,
Implementação do servidor em produção.,ERP-536,10741,Épico,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,,admin,admin,18/abr/18 8:30 AM,18/abr/18 8:30 AM,18/abr/18 8:30 AM,,,,0,,,,admin,,,,,,,,,,,,,,,,,{},ghx-label-2,,Integração,To Do,,0|i0033f:,,,,,,,,,,,,,,,,,,,,,,,,
Inserção de PrazoFake de financeira não está relacionando cadeia de registros,ERP-483,10674,Resolução de Defeito,Teste Reprovado,ERP,Bevicred ERP,software,admin,,,Medium,,elson.pedro,admin,admin,13/abr/18 9:06 AM,18/abr/18 7:25 AM,16/abr/18 5:21 PM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-04-16T14:59:37.059-0300"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,ERP-302,,,,0|i002tt:,Sprint 9,,,,3.0,,,,"18/abr/18 7:25 AM;admin;*Reprovado*

# Quando ocorre uma ""geração"" de dados por parte do sistema estes tem de ser implementados dentro de uma Factory.
# As situações de Try-Catch da criação do PrazoFake não foram testadas.
",,,,,,,,,,,,,,,
Executar DOJO da terça-feira à noite,ERP-514,10711,Treinamento,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,,admin,admin,16/abr/18 8:56 AM,16/abr/18 9:07 AM,16/abr/18 9:07 AM,,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i0030b:,Sprint 9,,,,,,,,,,,,,,,,,,,,,,,
Desenvolver roteiro de testes para o back-end,ERP-513,10710,Documentação,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,16/abr/18 8:55 AM,16/abr/18 4:58 PM,16/abr/18 9:07 AM,16/abr/18 4:57 PM,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i00303:,Sprint 9,,,,1.0,,,,,,,,,,,,,,,,,,,
Desenvolver roteiro de testes para o front-end,ERP-512,10709,Documentação,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,16/abr/18 8:55 AM,16/abr/18 2:40 PM,16/abr/18 9:07 AM,16/abr/18 2:40 PM,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i002zv:,Sprint 9,,,,1.0,,,,,,,,,,,,,,,,,,,
Implementar autocomplete que funcione em adição e edição,ERP-516,10713,Melhoria,Testar,ERP,Bevicred ERP,software,admin,,,Medium,,priscila.alves,admin,admin,16/abr/18 9:02 AM,18/abr/18 3:45 PM,16/abr/18 9:03 AM,,v1.2.0,,0,,,,admin,priscila.alves,rafael.franco,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-04-18T15:45:22.981-0300"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,0|i0030r:,Sprint 9,,,,13.0,,,2018-04-17 11:13:37.391,17/abr/18 8:13 AM;priscila.alves;Implementado no autocomplete de filial.,17/abr/18 11:40 AM;rafael.franco;Aprovado\!,"18/abr/18 7:32 AM;admin;*Reprovado*

# {{console.log(this.element);}} em dialog-update-divisao.component.ts;
","18/abr/18 3:45 PM;priscila.alves;# Remoção do console.log(this.element)
# Correção do update de divisão. Não estava funcionando.
",,,,,,,,,,,,
ExecutarDOJO da quinta-feira à noite,ERP-515,10712,Treinamento,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,,admin,admin,16/abr/18 8:56 AM,16/abr/18 8:59 AM,16/abr/18 8:59 AM,,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i0030j:,Sprint 9,,,,,,,,,,,,,,,,,,,,,,,
Levantamento de erros e pontos de melhoria no sistema,ERP-511,10703,Outras Tarefas,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,priscila.alves,admin,admin,13/abr/18 3:25 PM,17/abr/18 8:59 AM,13/abr/18 3:25 PM,17/abr/18 8:59 AM,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,16/abr/18 12:29 PM;priscila.alves;Anotações.txt;https://bevicred.atlassian.net/secure/attachment/10009/Anota%C3%A7%C3%B5es.txt,,{},,,,,,0|hzzzx6:x,Sprint 9,,,,3.0,,,,,,,,,,,,,,,,,,,
Fazer diagnosticamento de defeitos na versão dev,ERP-510,10702,Diagnóstico de Defeito,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,13/abr/18 3:25 PM,13/abr/18 3:25 PM,13/abr/18 3:25 PM,13/abr/18 3:25 PM,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i002zf:,Sprint 8,,,,5.0,,,,,,,,,,,,,,,,,,,
Gerar documentação inicial para planejamento do App de Crédito consignado,ERP-509,10701,Outras Tarefas,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,13/abr/18 3:22 PM,13/abr/18 3:22 PM,13/abr/18 3:22 PM,13/abr/18 3:22 PM,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i002z7:,Sprint 8,,,,3.0,,,,,,,,,,,,,,,,,,,
Estudar funcionamento do Oracle 12c e Levantar impactos  de migração,ERP-508,10700,Outras Tarefas,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,13/abr/18 3:21 PM,13/abr/18 3:21 PM,13/abr/18 3:21 PM,13/abr/18 3:21 PM,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i002yz:,Sprint 8,,,,5.0,,,,,,,,,,,,,,,,,,,
Instalar e configurar Oracle 12c,ERP-507,10699,Outras Tarefas,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,13/abr/18 3:20 PM,13/abr/18 3:21 PM,13/abr/18 3:20 PM,13/abr/18 3:21 PM,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i002yr:,Sprint 8,,,,5.0,,,,,,,,,,,,,,,,,,,
Fazer levantamento de requisitos de melhoria dos testes unitários,ERP-432,10619,Outras Tarefas,Concluída,ERP,Bevicred ERP,software,admin,,,Medium,Concluída,admin,admin,admin,12/abr/18 2:37 PM,13/abr/18 3:20 PM,13/abr/18 12:01 PM,13/abr/18 3:20 PM,,,0,,,,admin,,,,,,,,,,,,,,,,,{},,,,,,0|i002lf:,Sprint 8,,,,5.0,,,,,,,,,,,,,,,,,,,
Corrigir Instancia dos modal em todas as telas que possuem atalhos para os modal,ERP-428,10613,Resolução de Defeito,Concluída,ERP,Bevicred ERP,software,admin,,,High,Concluída,priscila.alves,rafael.franco,rafael.franco,11/abr/18 5:58 PM,13/abr/18 2:54 PM,13/abr/18 10:16 AM,13/abr/18 2:54 PM,v1.2.0,,0,,,,rafael.franco,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2018-04-13T14:54:21.992-0300"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,0|i002f3:,Sprint 8,,,,5.0,,,,,,,,,,,,,,,,,,,
Expansão da cobertura dos testes unitários,ERP-498,10689,Épico,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,,admin,admin,13/abr/18 10:12 AM,13/abr/18 10:12 AM,13/abr/18 10:12 AM,,,,0,,,,admin,,,,,,,,,,,,,,,,,{},ghx-label-8,,Testes,To Do,,0|i0014l:,,,,,,,,,,,,,,,,,,,,,,,,
Implementar tela de inserção de filiais,ERP-496,10687,Funcionalidade,Em Andamento,ERP,Bevicred ERP,software,admin,,,Medium,,Adriane.chagas,admin,admin,13/abr/18 9:51 AM,17/abr/18 2:48 PM,13/abr/18 10:11 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-489,,,,0|i002v6:r,Sprint 9,,,,13.0,,,,,,,,,,,,,,,,,,,
Implementar tela de edição de filiais,ERP-497,10688,Funcionalidade,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,alessandro.navarro,admin,admin,13/abr/18 9:51 AM,17/abr/18 12:44 PM,13/abr/18 10:11 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-489,,,,0|i002v6:v,Sprint 9,,,,13.0,,,,,,,,,,,,,,,,,,,
